epoch	time	lr	loss	accuracy	val_loss	val_accuracy
1	7.571724599984009	0.01	0.218076159256232	82.7473247467261		
2	7.365504199988209	0.01	0.15814831278865113	84.62546407679174		
3	7.372007499972824	0.01	0.15445561851182601	84.84385237117917		
4	7.441559300001245	0.01	0.15313870861530823	84.9421271036535		
5	7.382272300019395	0.01	0.15205190580181221	85.12775715388281		
6	7.376146099995822	0.01	0.15169080638890706	85.05678095654073		
7	7.394282999972347	0.01	0.15071785288571427	85.14413627596187		
8	7.451195700035896	0.01	0.15031092156552153	85.22057218066364		
9	7.440407000016421	0.01	0.1500004411661409	85.19327364386521		
10	7.41731200000504	0.01	0.14897169442865676	85.2970080803669		
11	7.416737899999134	0.01	0.14900718547353373	85.20965276427809		
12	7.449840899964329	0.01	0.1486409982496746	85.32430661716532		
13	7.474079200008418	0.01	0.14871090675616114	85.22603188635715		
14	7.438142400002107	0.01	0.1488678640584077	85.31884690980563		
15	7.44525650003925	0.01	0.14836666407114452	85.26970954523463		
16	7.439204199996311	0.01	0.14809112672879723	85.32976632785734		
17	7.525194599991664	0.01	0.14778225497224884	85.3843634014542		
18	7.44926399999531	0.01	0.1480426536321796	85.31884691147181		
19	7.45241760002682	0.01	0.14669498071305537	85.50993666906079		
20	7.456927100021858	0.01	0.14702414995745608	85.42804105699935		
